description,category,amount
BESCOM electricity,Electricity,243.05
Burger King meal,Food,7636.51
Flight booking,Travel,9274.04
Concert entry,Entertainment,5227.03
Online course,Education,996.37
Pantaloons bill,Clothing,1204.0
Hospital lab tests,Medical,5869.69
Adani power bill,Electricity,6819.95
Monthly power charges,Electricity,9966.78
Monthly power charges,Electricity,5218.66
Amusement park tickets,Entertainment,2996.63
TNEB bill,Electricity,9888.46
Book store,Education,3760.72
Winter wear purchase,Clothing,3979.96
Online course,Education,5822.95
BESCOM electricity,Electricity,6618.5
Apollo Pharmacy,Medical,5486.44
Local boutique,Clothing,4846.24
TV repair charges,Electronics,5324.21
Electronic shop bill,Electronics,6202.92
BESCOM electricity,Electricity,7186.74
Amusement park tickets,Entertainment,5593.21
Pantaloons bill,Clothing,8168.84
Gift shop,Others,3145.99
Apollo Pharmacy,Medical,4152.15
Cafe Latte and Sandwich,Food,4610.43
Laundry service,Others,8128.27
Laundry service,Others,3955.46
Gift shop,Others,4097.65
Amusement park tickets,Entertainment,1233.98
Laundry service,Others,3253.39
Petrol station,Travel,1548.07
Medicine purchase,Medical,2399.89
McDonald's order,Food,257.62
Medicine purchase,Medical,9190.6
D-Mart shopping,Groceries,5783.66
Concert entry,Entertainment,8621.41
Stationery shopping,Education,8329.88
Cafe Latte and Sandwich,Food,1264.76
Clinic consultation,Medical,8592.0
Amazon headphones,Electronics,6082.83
Netflix subscription,Entertainment,7769.92
Big Bazaar groceries,Groceries,375.01
BESCOM electricity,Electricity,715.23
Amazon headphones,Electronics,2035.14
Online course,Education,7314.03
Amazon headphones,Electronics,6547.88
Pantaloons bill,Clothing,8188.55
Monthly power charges,Electricity,2420.7
Clinic consultation,Medical,9933.95
Medicine purchase,Medical,3519.5
Big Bazaar groceries,Groceries,9022.79
Flight booking,Travel,462.09
Monthly power charges,Electricity,1742.27
Train ticket,Travel,6063.31
Zara shopping,Clothing,431.32
Hospital lab tests,Medical,7238.59
BESCOM electricity,Electricity,1459.64
Apollo Pharmacy,Medical,251.13
ATM withdrawal,Others,4089.31
TNEB bill,Electricity,5869.0
Starbucks coffee,Food,988.38
Amusement park tickets,Entertainment,7146.86
Zara shopping,Clothing,7460.51
Laundry service,Others,5918.12
Petrol station,Travel,5368.84
Online course,Education,1500.75
Pantaloons bill,Clothing,5589.24
TNEB bill,Electricity,2428.78
Netflix subscription,Entertainment,5595.99
Amazon headphones,Electronics,2619.75
TV repair charges,Electronics,5186.63
Courier charges,Others,6156.58
McDonald's order,Food,4838.59
Amusement park tickets,Entertainment,9241.79
Ola cab,Travel,8721.15
Stationery shopping,Education,2962.99
Amazon headphones,Electronics,3915.43
TV repair charges,Electronics,523.9
Cafe Latte and Sandwich,Food,1348.69
ATM withdrawal,Others,6295.5
Monthly power charges,Electricity,5563.24
Amazon headphones,Electronics,3118.23
Hospital lab tests,Medical,663.33
Amazon headphones,Electronics,6769.78
Spotify premium,Entertainment,9414.25
Stationery shopping,Education,8915.88
Stationery shopping,Education,2982.88
Flight booking,Travel,3825.0
Clinic consultation,Medical,8667.67
Big Bazaar groceries,Groceries,3637.93
Pantaloons bill,Clothing,6979.76
Pantaloons bill,Clothing,7365.07
Charity donation,Others,7834.48
Netflix subscription,Entertainment,3343.61
Pantaloons bill,Clothing,5263.42
Electronic shop bill,Electronics,1287.95
Monthly power charges,Electricity,5467.03
Flight booking,Travel,4024.4
Electronic shop bill,Electronics,5570.88
Electricity recharge,Electricity,2299.61
Electricity recharge,Electricity,9251.07
Charity donation,Others,5759.67
Clinic consultation,Medical,3774.87
Winter wear purchase,Clothing,4521.98
Exam registration,Education,2566.17
Zara shopping,Clothing,1599.42
Train ticket,Travel,2184.15
Big Bazaar groceries,Groceries,8179.65
TNEB bill,Electricity,6060.31
Train ticket,Travel,2587.01
Starbucks coffee,Food,8868.63
Winter wear purchase,Clothing,7726.14
Gift shop,Others,3523.65
Exam registration,Education,7432.85
Myntra fashion,Clothing,2339.54
Movie ticket,Entertainment,4281.6
Amazon headphones,Electronics,7308.75
Starbucks coffee,Food,8801.89
Charity donation,Others,7964.59
Netflix subscription,Entertainment,3223.87
TNEB bill,Electricity,6314.71
Adani power bill,Electricity,6186.09
Netflix subscription,Entertainment,6059.39
BESCOM electricity,Electricity,2408.99
Stationery shopping,Education,5359.13
Burger King meal,Food,3095.34
Uber ride,Travel,8575.92
Uber ride,Travel,1060.61
Burger King meal,Food,8946.91
Pantaloons bill,Clothing,3646.46
Charity donation,Others,1133.32
Tuition fees,Education,6847.08
Domino's Pizza,Food,9732.46
Apollo Pharmacy,Medical,9429.29
Exam registration,Education,1620.04
ATM withdrawal,Others,2311.73
Amazon headphones,Electronics,6225.63
Clinic consultation,Medical,5594.91
Winter wear purchase,Clothing,9978.95
TV repair charges,Electronics,1623.02
Winter wear purchase,Clothing,1577.29
Burger King meal,Food,2109.85
Flight booking,Travel,5362.1
TNEB bill,Electricity,6876.61
Vegetable market,Groceries,1264.63
Amusement park tickets,Entertainment,9645.32
Online course,Education,282.57
Petrol station,Travel,8602.7
Laundry service,Others,1082.26
Exam registration,Education,6666.11
Amusement park tickets,Entertainment,9147.69
Ola cab,Travel,53.0
Train ticket,Travel,9756.06
Apollo Pharmacy,Medical,8768.53
Laundry service,Others,5406.76
Laundry service,Others,4935.92
Daily fruits and milk,Groceries,4811.63
TV repair charges,Electronics,8816.72
Local boutique,Clothing,8014.36
Movie ticket,Entertainment,9786.75
TNEB bill,Electricity,2757.08
D-Mart shopping,Groceries,4950.69
Big Bazaar groceries,Groceries,1269.78
Starbucks coffee,Food,4909.57
Train ticket,Travel,3197.3
Electricity recharge,Electricity,6608.65
Local boutique,Clothing,9737.05
Petrol station,Travel,1567.87
Uber ride,Travel,951.37
Stationery shopping,Education,4971.01
Charity donation,Others,7715.34
BESCOM electricity,Electricity,4699.32
